checking_status,duration,credit_history,credit_amount,savings,employment,installment_rate,personal_status_sex,other_debtors,residence_since,property,age,other_installment_plans,housing,existing_credits,job,people_liable,telephone,foreign_worker,default,purpose_grouped
less_0,6,critical_other,1169,unknown,greater_7,4,male_single,none,4,real_estate,67,none,own,2,skilled_official,1,yes,yes,good,Home
0_200,48,existing_paid,5951,less_100,1_4,2,female_divorced_separated_married,none,2,real_estate,22,none,own,1,skilled_official,1,none,yes,bad,Home
no_account,12,critical_other,2096,less_100,4_7,2,male_single,none,3,real_estate,49,none,own,1,unskilled_resident,2,none,yes,good,Investment/Development
less_0,42,existing_paid,7882,less_100,4_7,2,male_single,guarantor,4,building_society_savings_life_insurance,45,none,for_free,1,skilled_official,2,none,yes,good,Home
less_0,24,delay,4870,less_100,1_4,3,male_single,none,4,unknown_no_property,53,none,for_free,2,skilled_official,2,none,yes,bad,Vehicles
no_account,36,existing_paid,9055,unknown,1_4,2,male_single,none,4,unknown_no_property,35,none,for_free,1,unskilled_resident,2,yes,yes,good,Investment/Development
no_account,24,existing_paid,2835,500_1000,greater_7,3,male_single,none,4,building_society_savings_life_insurance,53,none,own,1,skilled_official,1,none,yes,good,Home
0_200,36,existing_paid,6948,less_100,1_4,2,male_single,none,2,car_or_other,35,none,rent,1,management_self_employed_highly_qualified,1,yes,yes,good,Vehicles
no_account,12,existing_paid,3059,greater_1000,4_7,2,male_divorced_separated,none,4,real_estate,61,none,own,1,unskilled_resident,1,none,yes,good,Home
0_200,30,critical_other,5234,less_100,unemployed,4,male_married,none,2,car_or_other,28,none,own,2,management_self_employed_highly_qualified,1,none,yes,bad,Vehicles
0_200,12,existing_paid,1295,less_100,less_1,3,female_divorced_separated_married,none,1,car_or_other,25,none,rent,1,skilled_official,1,none,yes,bad,Vehicles
less_0,48,existing_paid,4308,less_100,less_1,3,female_divorced_separated_married,none,4,building_society_savings_life_insurance,24,none,rent,1,skilled_official,1,none,yes,bad,Investment/Development
0_200,12,existing_paid,1567,less_100,1_4,1,female_divorced_separated_married,none,1,car_or_other,22,none,own,1,skilled_official,1,yes,yes,good,Home
less_0,24,critical_other,1199,less_100,greater_7,4,male_single,none,4,car_or_other,60,none,own,2,unskilled_resident,1,none,yes,bad,Vehicles
less_0,15,existing_paid,1403,less_100,1_4,2,female_divorced_separated_married,none,4,car_or_other,28,none,rent,1,skilled_official,1,none,yes,good,Vehicles
less_0,24,existing_paid,1282,100_500,1_4,4,female_divorced_separated_married,none,2,car_or_other,32,none,own,1,unskilled_resident,1,none,yes,bad,Home
no_account,24,critical_other,2424,unknown,greater_7,4,male_single,none,4,building_society_savings_life_insurance,53,none,own,2,skilled_official,1,none,yes,good,Home
less_0,30,no_credit_all_paid,8072,unknown,less_1,2,male_single,none,3,car_or_other,25,bank,own,3,skilled_official,1,none,yes,good,Investment/Development
0_200,24,existing_paid,12579,less_100,greater_7,4,female_divorced_separated_married,none,2,unknown_no_property,44,none,for_free,1,management_self_employed_highly_qualified,1,yes,yes,bad,Vehicles
no_account,24,existing_paid,3430,500_1000,greater_7,3,male_single,none,2,car_or_other,31,none,own,1,skilled_official,2,yes,yes,good,Home
no_account,9,critical_other,2134,less_100,1_4,4,male_single,none,4,car_or_other,48,none,own,3,skilled_official,1,yes,yes,good,Vehicles
less_0,6,existing_paid,2647,500_1000,1_4,2,male_single,none,3,real_estate,44,none,rent,1,skilled_official,2,none,yes,good,Home
less_0,10,critical_other,2241,less_100,less_1,1,male_single,none,3,real_estate,48,none,rent,2,unskilled_resident,2,none,no,good,Vehicles
0_200,12,critical_other,1804,100_500,less_1,3,male_single,none,4,building_society_savings_life_insurance,44,none,own,1,skilled_official,1,none,yes,good,Vehicles
no_account,10,critical_other,2069,unknown,1_4,2,male_married,none,1,car_or_other,26,none,own,2,skilled_official,1,none,no,good,Home
less_0,6,existing_paid,1374,less_100,1_4,1,male_single,none,2,real_estate,36,bank,own,1,unskilled_resident,1,yes,yes,good,Home
no_account,6,no_credit_all_paid,426,less_100,greater_7,4,male_married,none,4,car_or_other,39,none,own,1,unskilled_resident,1,none,yes,good,Home
greater_200,12,all_paid,409,greater_1000,1_4,3,female_divorced_separated_married,none,3,real_estate,42,none,rent,2,skilled_official,1,none,yes,good,Home
0_200,7,existing_paid,2415,less_100,1_4,3,male_single,guarantor,2,real_estate,34,none,own,1,skilled_official,1,none,yes,good,Home
less_0,60,delay,6836,less_100,greater_7,3,male_single,none,4,unknown_no_property,63,none,own,2,skilled_official,1,yes,yes,bad,Investment/Development
0_200,18,existing_paid,1913,greater_1000,less_1,3,male_married,none,3,real_estate,36,bank,own,1,skilled_official,1,yes,yes,good,Investment/Development
less_0,24,existing_paid,4020,less_100,1_4,2,male_single,none,2,car_or_other,27,stores,own,1,skilled_official,1,none,yes,good,Home
0_200,18,existing_paid,5866,100_500,1_4,2,male_single,none,2,car_or_other,30,none,own,2,skilled_official,1,yes,yes,good,Vehicles
no_account,12,critical_other,1264,unknown,greater_7,4,male_single,none,4,unknown_no_property,57,none,rent,1,unskilled_resident,1,none,yes,good,Investment/Development
greater_200,12,existing_paid,1474,less_100,less_1,4,female_divorced_separated_married,none,1,building_society_savings_life_insurance,33,bank,own,1,management_self_employed_highly_qualified,1,yes,yes,good,Home
0_200,45,critical_other,4746,less_100,less_1,4,male_single,none,2,building_society_savings_life_insurance,25,none,own,2,unskilled_resident,1,none,yes,bad,Home
no_account,48,critical_other,6110,less_100,1_4,1,male_single,none,3,unknown_no_property,31,bank,for_free,1,skilled_official,1,yes,yes,good,Investment/Development
greater_200,18,existing_paid,2100,less_100,1_4,4,male_single,co_applicant,2,real_estate,37,stores,own,1,skilled_official,1,none,yes,bad,Home
greater_200,10,existing_paid,1225,less_100,1_4,2,male_single,none,2,car_or_other,37,none,own,1,skilled_official,1,yes,yes,good,Home
0_200,9,existing_paid,458,less_100,1_4,4,male_single,none,3,real_estate,24,none,own,1,skilled_official,1,none,yes,good,Home
no_account,30,existing_paid,2333,500_1000,greater_7,4,male_single,none,2,car_or_other,30,bank,own,1,management_self_employed_highly_qualified,1,none,yes,good,Home
0_200,12,existing_paid,1158,500_1000,1_4,3,male_divorced_separated,none,1,car_or_other,26,none,own,1,skilled_official,1,yes,yes,good,Home
0_200,18,delay,6204,less_100,1_4,2,male_single,none,4,real_estate,44,none,own,1,unskilled_resident,2,yes,yes,good,Home
less_0,30,critical_other,6187,100_500,4_7,1,male_married,none,4,car_or_other,24,none,rent,2,skilled_official,1,none,yes,good,Vehicles
less_0,48,critical_other,6143,less_100,greater_7,4,female_divorced_separated_married,none,4,unknown_no_property,58,stores,for_free,2,unskilled_resident,1,none,yes,bad,Vehicles
no_account,11,critical_other,1393,less_100,less_1,4,female_divorced_separated_married,none,4,car_or_other,35,none,own,2,management_self_employed_highly_qualified,1,none,yes,good,Vehicles
no_account,36,existing_paid,2299,500_1000,greater_7,4,male_single,none,4,car_or_other,39,none,own,1,skilled_official,1,none,yes,good,Home
less_0,6,existing_paid,1352,500_1000,unemployed,1,female_divorced_separated_married,none,2,building_society_savings_life_insurance,23,none,rent,1,unemployed_unskilled,1,yes,yes,good,Vehicles
no_account,11,critical_other,7228,less_100,1_4,1,male_single,none,4,building_society_savings_life_insurance,39,none,own,2,unskilled_resident,1,none,yes,good,Vehicles
no_account,12,existing_paid,2073,100_500,1_4,4,female_divorced_separated_married,co_applicant,2,real_estate,28,none,own,1,skilled_official,1,none,yes,good,Home
0_200,24,delay,2333,unknown,less_1,4,male_single,none,2,building_society_savings_life_insurance,29,bank,own,1,unskilled_resident,1,none,yes,good,Home
0_200,27,delay,5965,less_100,greater_7,1,male_single,none,2,car_or_other,30,none,own,2,management_self_employed_highly_qualified,1,yes,yes,good,Vehicles
no_account,12,existing_paid,1262,less_100,1_4,3,male_single,none,2,car_or_other,25,none,own,1,skilled_official,1,none,yes,good,Home
no_account,18,existing_paid,3378,unknown,1_4,2,male_single,none,1,building_society_savings_life_insurance,31,none,own,1,skilled_official,1,yes,yes,good,Vehicles
0_200,36,delay,2225,less_100,greater_7,4,male_single,none,4,unknown_no_property,57,bank,for_free,2,skilled_official,1,yes,yes,bad,Vehicles
no_account,6,all_paid,783,unknown,1_4,1,male_single,guarantor,2,real_estate,26,stores,own,1,unskilled_resident,2,none,yes,good,Vehicles
0_200,12,existing_paid,6468,unknown,unemployed,2,male_single,none,1,unknown_no_property,52,none,own,1,management_self_employed_highly_qualified,1,yes,yes,bad,Home
no_account,36,critical_other,9566,less_100,1_4,2,female_divorced_separated_married,none,2,car_or_other,31,stores,own,2,skilled_official,1,none,yes,good,Home
greater_200,18,existing_paid,1961,less_100,greater_7,3,female_divorced_separated_married,none,2,car_or_other,23,none,own,1,management_self_employed_highly_qualified,1,none,yes,good,Vehicles
less_0,36,critical_other,6229,less_100,less_1,4,female_divorced_separated_married,co_applicant,4,unknown_no_property,23,none,rent,2,unskilled_resident,1,yes,yes,bad,Home
0_200,9,existing_paid,1391,less_100,1_4,2,male_married,none,1,real_estate,27,bank,own,1,skilled_official,1,yes,yes,good,Investment/Development
0_200,15,critical_other,1537,unknown,greater_7,4,male_single,guarantor,4,real_estate,50,none,own,2,skilled_official,1,yes,yes,good,Home
0_200,36,no_credit_all_paid,1953,less_100,greater_7,4,male_single,none,4,unknown_no_property,61,none,for_free,1,management_self_employed_highly_qualified,1,yes,yes,bad,Investment/Development
0_200,48,no_credit_all_paid,14421,less_100,1_4,2,male_single,none,2,car_or_other,25,none,own,1,skilled_official,1,yes,yes,bad,Investment/Development
no_account,24,existing_paid,3181,less_100,less_1,4,female_divorced_separated_married,none,4,building_society_savings_life_insurance,26,none,own,1,skilled_official,1,yes,yes,good,Home
no_account,27,existing_paid,5190,unknown,greater_7,4,male_single,none,4,building_society_savings_life_insurance,48,none,own,4,skilled_official,2,yes,yes,good,Home
no_account,12,existing_paid,2171,less_100,less_1,2,female_divorced_separated_married,none,2,car_or_other,29,bank,own,1,skilled_official,1,none,yes,good,Home
0_200,12,existing_paid,1007,greater_1000,1_4,4,male_married,none,1,real_estate,22,none,own,1,skilled_official,1,none,yes,good,Vehicles
no_account,36,existing_paid,1819,less_100,1_4,4,male_single,none,4,unknown_no_property,37,stores,for_free,1,skilled_official,1,yes,yes,bad,Investment/Development
no_account,36,existing_paid,2394,unknown,1_4,4,female_divorced_separated_married,none,4,car_or_other,25,none,own,1,skilled_official,1,none,yes,good,Home
no_account,36,existing_paid,8133,less_100,1_4,1,female_divorced_separated_married,none,2,building_society_savings_life_insurance,30,bank,own,1,skilled_official,1,none,yes,good,Vehicles
no_account,7,critical_other,730,unknown,greater_7,4,male_single,none,2,building_society_savings_life_insurance,46,none,rent,2,unskilled_resident,1,yes,yes,good,Home
less_0,8,critical_other,1164,less_100,greater_7,3,male_single,none,4,unknown_no_property,51,bank,for_free,2,management_self_employed_highly_qualified,2,yes,yes,good,Others
0_200,42,critical_other,5954,less_100,4_7,2,female_divorced_separated_married,none,1,real_estate,41,bank,own,2,unskilled_resident,1,none,yes,good,Investment/Development
less_0,36,existing_paid,1977,unknown,greater_7,4,male_single,none,4,unknown_no_property,40,none,own,1,management_self_employed_highly_qualified,1,yes,yes,bad,Investment/Development
less_0,12,critical_other,1526,less_100,greater_7,4,male_single,none,4,unknown_no_property,66,none,for_free,2,management_self_employed_highly_qualified,1,none,yes,good,Vehicles
less_0,42,existing_paid,3965,less_100,less_1,4,male_single,none,3,car_or_other,34,none,own,1,skilled_official,1,none,yes,bad,Home
0_200,11,delay,4771,less_100,4_7,2,male_single,none,4,building_society_savings_life_insurance,51,none,own,1,skilled_official,1,none,yes,good,Home
no_account,54,no_credit_all_paid,9436,unknown,1_4,2,male_single,none,2,building_society_savings_life_insurance,39,none,own,1,unskilled_resident,2,none,yes,good,Vehicles
0_200,30,existing_paid,3832,less_100,less_1,2,male_married,none,1,building_society_savings_life_insurance,22,none,own,1,skilled_official,1,none,yes,good,Home
no_account,24,existing_paid,5943,unknown,less_1,1,female_divorced_separated_married,none,1,car_or_other,44,none,own,2,skilled_official,1,yes,yes,bad,Home
no_account,15,existing_paid,1213,500_1000,greater_7,4,male_single,none,3,building_society_savings_life_insurance,47,stores,own,1,skilled_official,1,yes,yes,good,Home
no_account,18,existing_paid,1568,100_500,1_4,3,female_divorced_separated_married,none,4,building_society_savings_life_insurance,24,none,rent,1,unskilled_resident,1,none,yes,good,Investment/Development
less_0,24,existing_paid,1755,less_100,greater_7,4,female_divorced_separated_married,guarantor,4,real_estate,58,none,own,1,unskilled_resident,1,yes,yes,good,Others
less_0,10,existing_paid,2315,less_100,greater_7,3,male_single,none,4,real_estate,52,none,own,1,unskilled_resident,1,none,yes,good,Home
no_account,12,critical_other,1412,less_100,1_4,4,female_divorced_separated_married,guarantor,2,real_estate,29,none,own,2,management_self_employed_highly_qualified,1,yes,yes,good,Investment/Development
0_200,18,critical_other,1295,less_100,less_1,4,female_divorced_separated_married,none,1,building_society_savings_life_insurance,27,none,own,2,skilled_official,1,none,yes,good,Home
0_200,36,existing_paid,12612,100_500,1_4,1,male_single,none,4,unknown_no_property,47,none,for_free,1,skilled_official,2,yes,yes,bad,Investment/Development
less_0,18,existing_paid,2249,100_500,4_7,4,male_single,none,3,car_or_other,30,none,own,1,management_self_employed_highly_qualified,2,yes,yes,good,Vehicles
less_0,12,no_credit_all_paid,1108,less_100,4_7,4,male_single,none,3,real_estate,28,none,own,2,skilled_official,1,none,yes,bad,Home
no_account,12,critical_other,618,less_100,greater_7,4,male_single,none,4,real_estate,56,none,own,1,skilled_official,1,none,yes,good,Home
less_0,12,critical_other,1409,less_100,greater_7,4,male_single,none,3,real_estate,54,none,own,1,skilled_official,1,none,yes,good,Vehicles
no_account,12,critical_other,797,unknown,greater_7,4,female_divorced_separated_married,none,3,building_society_savings_life_insurance,33,bank,own,1,unskilled_resident,2,none,yes,bad,Home
greater_200,24,critical_other,3617,unknown,greater_7,4,male_single,co_applicant,4,unknown_no_property,20,none,rent,2,skilled_official,1,none,yes,good,Home
0_200,12,existing_paid,1318,greater_1000,greater_7,4,male_single,none,4,real_estate,54,none,own,1,skilled_official,1,yes,yes,good,Vehicles
0_200,54,no_credit_all_paid,15945,less_100,less_1,3,male_single,none,4,unknown_no_property,58,none,rent,1,skilled_official,1,yes,yes,bad,Investment/Development
no_account,12,critical_other,2012,unknown,4_7,4,female_divorced_separated_married,none,2,car_or_other,61,none,own,1,skilled_official,1,none,yes,good,Investment/Development
0_200,18,existing_paid,2622,100_500,1_4,4,male_single,none,4,car_or_other,34,none,own,1,skilled_official,1,none,yes,good,Investment/Development
0_200,36,critical_other,2337,less_100,greater_7,4,male_single,none,4,real_estate,36,none,own,1,skilled_official,1,none,yes,good,Home
0_200,20,delay,7057,unknown,4_7,3,male_single,none,4,building_society_savings_life_insurance,36,bank,rent,2,management_self_employed_highly_qualified,2,yes,yes,good,Vehicles
no_account,24,existing_paid,1469,100_500,greater_7,4,male_married,none,4,real_estate,41,none,rent,1,unskilled_resident,1,none,yes,good,Vehicles
0_200,36,existing_paid,2323,less_100,4_7,4,male_single,none,4,car_or_other,24,none,rent,1,skilled_official,1,none,yes,good,Home
no_account,6,delay,932,less_100,1_4,3,female_divorced_separated_married,none,2,real_estate,24,none,own,1,skilled_official,1,none,yes,good,Home
0_200,9,critical_other,1919,less_100,4_7,4,male_single,none,3,car_or_other,35,none,rent,1,skilled_official,1,yes,yes,good,Home
no_account,12,existing_paid,2445,unknown,less_1,2,male_married,none,4,car_or_other,26,none,rent,1,skilled_official,1,yes,yes,good,Vehicles
0_200,24,critical_other,11938,less_100,1_4,2,male_single,co_applicant,3,car_or_other,39,none,own,2,management_self_employed_highly_qualified,2,yes,yes,bad,Others
no_account,18,all_paid,6458,less_100,greater_7,2,male_single,none,4,unknown_no_property,39,bank,own,2,management_self_employed_highly_qualified,2,yes,yes,bad,Vehicles
0_200,12,existing_paid,6078,less_100,4_7,2,male_single,none,2,car_or_other,32,none,own,1,skilled_official,1,none,yes,good,Vehicles
less_0,24,existing_paid,7721,unknown,less_1,1,female_divorced_separated_married,none,2,building_society_savings_life_insurance,30,none,own,1,skilled_official,1,yes,no,good,Home
0_200,14,existing_paid,1410,500_1000,greater_7,1,male_married,none,2,real_estate,35,none,own,1,skilled_official,1,yes,yes,good,Investment/Development
0_200,6,delay,1449,100_500,greater_7,1,male_divorced_separated,none,2,car_or_other,31,bank,own,2,skilled_official,2,none,yes,good,Investment/Development
greater_200,15,existing_paid,392,less_100,less_1,4,female_divorced_separated_married,none,4,building_society_savings_life_insurance,23,none,rent,1,skilled_official,1,yes,yes,good,Investment/Development
0_200,18,existing_paid,6260,less_100,4_7,3,male_single,none,3,real_estate,28,none,rent,1,unskilled_resident,1,none,yes,good,Vehicles
no_account,36,critical_other,7855,less_100,1_4,4,female_divorced_separated_married,none,2,real_estate,25,stores,own,2,skilled_official,1,yes,yes,bad,Vehicles
less_0,12,existing_paid,1680,500_1000,greater_7,3,male_married,none,1,real_estate,35,none,own,1,skilled_official,1,none,yes,good,Home
no_account,48,critical_other,3578,unknown,greater_7,4,male_single,none,1,real_estate,47,none,own,1,skilled_official,1,yes,yes,good,Home
less_0,42,existing_paid,7174,unknown,4_7,4,female_divorced_separated_married,none,3,car_or_other,30,none,own,1,management_self_employed_highly_qualified,1,yes,yes,bad,Home
less_0,10,critical_other,2132,unknown,less_1,2,female_divorced_separated_married,co_applicant,3,real_estate,27,none,rent,2,skilled_official,1,none,no,good,Home
less_0,33,critical_other,4281,500_1000,1_4,1,female_divorced_separated_married,none,4,car_or_other,23,none,own,2,skilled_official,1,none,yes,bad,Home
0_200,12,critical_other,2366,500_1000,4_7,3,male_divorced_separated,none,3,car_or_other,36,none,own,1,management_self_employed_highly_qualified,1,yes,yes,good,Vehicles
less_0,21,existing_paid,1835,less_100,1_4,3,female_divorced_separated_married,none,2,real_estate,25,none,own,2,skilled_official,1,yes,yes,bad,Home
no_account,24,critical_other,3868,less_100,greater_7,4,female_divorced_separated_married,none,2,car_or_other,41,none,rent,2,management_self_employed_highly_qualified,1,yes,yes,good,Vehicles
no_account,12,existing_paid,1768,less_100,1_4,3,male_single,none,2,real_estate,24,none,rent,1,unskilled_resident,1,none,yes,good,Home
greater_200,10,critical_other,781,less_100,greater_7,4,male_single,none,4,unknown_no_property,63,none,for_free,2,skilled_official,1,yes,yes,good,Vehicles
0_200,18,existing_paid,1924,unknown,less_1,4,female_divorced_separated_married,none,3,real_estate,27,none,rent,1,skilled_official,1,none,yes,bad,Home
less_0,12,critical_other,2121,less_100,1_4,4,male_single,none,2,building_society_savings_life_insurance,30,none,own,2,skilled_official,1,none,yes,good,Vehicles
less_0,12,existing_paid,701,less_100,1_4,4,male_married,none,2,real_estate,40,none,own,1,unskilled_resident,1,none,yes,good,Home
0_200,12,existing_paid,639,less_100,1_4,4,male_single,none,2,car_or_other,30,none,own,1,skilled_official,1,none,yes,bad,Home
0_200,12,critical_other,1860,less_100,unemployed,4,male_single,none,2,car_or_other,34,none,own,2,management_self_employed_highly_qualified,1,yes,yes,good,Vehicles
less_0,12,critical_other,3499,less_100,1_4,3,female_divorced_separated_married,co_applicant,2,real_estate,29,none,own,2,skilled_official,1,none,yes,bad,Vehicles
